,Taxo_all,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species,OTU,trophic_groups
66,Nematoda;Chromadorea;Chromadorea_X;;,0.94065449,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu10907,N
67,Nematoda;Chromadorea;Chromadorea_X;;,0.99998345,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu9520,N
68,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3381,N
69,Nematoda;Chromadorea;Chromadorea_X;;,0.999999829,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu14062,N
70,Nematoda;Chromadorea;Chromadorea_X;;,0.921213384,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu10988,N
71,Nematoda;Chromadorea;Chromadorea_X;;,0.996047761,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1304,N
72,Nematoda;Chromadorea;Chromadorea_X;;,0.965338001,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5871,N
73,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu710,N
74,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu253,N
75,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7322,N
76,Nematoda;Chromadorea;Chromadorea_X;;,0.999993132,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu10855,N
77,Nematoda;Chromadorea;Chromadorea_X;;,0.82649024,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2806,N
78,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1928,N
79,Nematoda;Chromadorea;Chromadorea_X;;,0.786431574,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3458,N
80,Nematoda;Chromadorea;Chromadorea_X;;,0.99580915,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1057,N
81,Nematoda;Chromadorea;Chromadorea_X;;,0.942565667,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1705,N
82,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7801,N
83,Nematoda;Chromadorea;Chromadorea_X;;,0.967593402,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6201,N
84,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5755,N
85,Nematoda;Chromadorea;Chromadorea_X;;,0.998083831,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4418,N
86,Nematoda;Chromadorea;Chromadorea_X;;,0.999996253,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu8282,N
87,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1329,N
88,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6443,N
89,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6408,N
90,Nematoda;Chromadorea;Chromadorea_X;;,0.999999715,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4011,N
91,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3033,N
92,Nematoda;Chromadorea;Chromadorea_X;;,0.959737725,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4935,N
93,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu948,N
94,Nematoda;Chromadorea;Chromadorea_X;;,0.999999999,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu15332,N
95,Nematoda;Chromadorea;Chromadorea_X;;,0.998885648,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5275,N
96,Nematoda;Chromadorea;Chromadorea_X;;,0.999757831,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2703,N
97,Nematoda;Chromadorea;Chromadorea_X;;,0.999999984,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu11828,N
98,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu232,N
99,Nematoda;Chromadorea;Chromadorea_X;;,0.818373503,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3724,N
100,Nematoda;Chromadorea;Chromadorea_X;;,0.99707075,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5845,N
101,Nematoda;Chromadorea;Chromadorea_X;;,0.980033358,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4695,N
102,Nematoda;Chromadorea;Chromadorea_X;;,0.994585531,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu8314,N
103,Nematoda;Chromadorea;Chromadorea_X;;,0.999999996,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu8452,N
104,Nematoda;Chromadorea;Chromadorea_X;;,0.953082559,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu12755,N
105,Nematoda;Chromadorea;Chromadorea_X;;,0.99515879,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6884,N
106,Nematoda;Chromadorea;Chromadorea_X;;,0.999995124,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5503,N
107,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu10747,N
108,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3841,N
109,Nematoda;Chromadorea;Chromadorea_X;;,0.79909888,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4018,N
110,Nematoda;Chromadorea;Chromadorea_X;;,0.999999991,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5504,N
111,Nematoda;Chromadorea;Chromadorea_X;Achromadora;Achromadora_cf,0.999803622,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Achromadora,Achromadora_cf,Otu7892,N
112,Nematoda;Chromadorea;Chromadorea_X;Achromadora;Achromadora_sp.,0.820961135,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Achromadora,Achromadora_sp.,Otu175,o
113,Nematoda;Chromadorea;Chromadorea_X;Achromadora;Achromadora_sp.,0.852351635,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Achromadora,Achromadora_sp.,Otu13824,o
114,Nematoda;Chromadorea;Chromadorea_X;Achromadora;Achromadora_sp.,0.808148575,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Achromadora,Achromadora_sp.,Otu3352,o
115,Nematoda;Chromadorea;Chromadorea_X;Acrobeloides;,0.785215743,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides,,Otu12405,b
116,Nematoda;Chromadorea;Chromadorea_X;Acrobeloides;,0.832459539,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides,,Otu5032,b
117,Nematoda;Chromadorea;Chromadorea_X;Acrobeloides;,0.772909703,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides,,Otu24,b
118,Nematoda;Chromadorea;Chromadorea_X;Acrobeloides;,0.755440712,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides,,Otu3599,b
119,Nematoda;Chromadorea;Chromadorea_X;Acrobeloides;,0.88093877,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides,,Otu3009,b
120,Nematoda;Chromadorea;Chromadorea_X;Acrostichus;Acrostichus_sp.,0.989160096,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrostichus,Acrostichus_sp.,Otu7129,N
121,Nematoda;Chromadorea;Chromadorea_X;Aglenchus;Aglenchus_agricola,0.999866272,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aglenchus,Aglenchus_agricola,Otu14469,h
122,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;,0.847622379,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,,Otu1298,f
123,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;,0.990283206,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,,Otu976,f
124,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;,0.825338287,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,,Otu144,f
125,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;,0.848948784,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,,Otu11136,f
126,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;,0.941364788,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,,Otu502,f
127,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_besseyi,0.900980314,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_besseyi,Otu1141,f
128,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_bicaudatus,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_bicaudatus,Otu451,f
129,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_bicaudatus,0.999999793,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_bicaudatus,Otu2478,f
130,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_fujianensis,0.956592415,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_fujianensis,Otu5575,f
131,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_fujianensis,0.842361435,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_fujianensis,Otu507,f
132,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_fujianensis,0.826324461,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_fujianensis,Otu3958,f
133,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_paradalianensis,0.999529193,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_paradalianensis,Otu5633,f
134,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_sp.,0.837489329,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_sp.,Otu1665,f
135,Nematoda;Chromadorea;Chromadorea_X;Aphelenchoides;Aphelenchoides_subtenuis,0.99999617,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchoides,Aphelenchoides_subtenuis,Otu3651,f
136,Nematoda;Chromadorea;Chromadorea_X;Aphelenchus;,0.899321309,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchus,,Otu608,f
137,Nematoda;Chromadorea;Chromadorea_X;Aphelenchus;Aphelenchus_avenae,0.995878061,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aphelenchus,Aphelenchus_avenae,Otu274,f
138,Nematoda;Chromadorea;Chromadorea_X;Aulolaimus;Aulolaimus_oxycephalus,0.999389856,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aulolaimus,Aulolaimus_oxycephalus,Otu14701,N
139,Nematoda;Chromadorea;Chromadorea_X;Basiria;Basiria_sp.,0.996293607,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Basiria,Basiria_sp.,Otu1020,h
140,Nematoda;Chromadorea;Chromadorea_X;Bunonema;Bunonema_franzi,0.727242453,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bunonema,Bunonema_franzi,Otu11836,b
141,Nematoda;Chromadorea;Chromadorea_X;Bunonema;Bunonema_franzi,0.728089785,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bunonema,Bunonema_franzi,Otu470,b
142,Nematoda;Chromadorea;Chromadorea_X;Bunonema;Bunonema_richtersi,0.982372289,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bunonema,Bunonema_richtersi,Otu932,b
143,Nematoda;Chromadorea;Chromadorea_X;Bunonema;Bunonema_sp.,0.999999983,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bunonema,Bunonema_sp.,Otu7583,N
144,Nematoda;Chromadorea;Chromadorea_X;Caenorhabditis;Caenorhabditis_brenneri,0.99998852,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Caenorhabditis,Caenorhabditis_brenneri,Otu5772,b
145,Nematoda;Chromadorea;Chromadorea_X;Cephaloboides;Cephaloboides_nidrosiensis,0.976195237,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephaloboides,Cephaloboides_nidrosiensis,Otu57,b
146,Nematoda;Chromadorea;Chromadorea_X;Cephalobus;Cephalobus_cubaensis,0.918554489,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephalobus,Cephalobus_cubaensis,Otu2158,b
147,Nematoda;Chromadorea;Chromadorea_X;Cephalobus;Cephalobus_cubaensis,0.999999732,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephalobus,Cephalobus_cubaensis,Otu263,b
148,Nematoda;Chromadorea;Chromadorea_X;Cephalobus;Cephalobus_cubaensis,0.873488559,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephalobus,Cephalobus_cubaensis,Otu1680,b
149,Nematoda;Chromadorea;Chromadorea_X;Ceratoplectus;Ceratoplectus_armatus,0.776557053,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Ceratoplectus,Ceratoplectus_armatus,Otu31,b
150,Nematoda;Chromadorea;Chromadorea_X;Ceratoplectus;Ceratoplectus_armatus,0.733676965,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Ceratoplectus,Ceratoplectus_armatus,Otu7923,b
151,Nematoda;Chromadorea;Chromadorea_X;Cervidellus;Cervidellus_sp.,0.772076418,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cervidellus,Cervidellus_sp.,Otu2036,b
