,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X11_11S_N_C_0,B2,S11,2011,half,unwarming,0,0.5,1,Clipping,99.5,64.72,53.8,2.96,0.155,1.555,5.93,211.53,48.72,162.81,NA,8,7.37,8.730769231,13.3,55.01,-1.94791,18.63012649,3.788626484,6.551535385,2.7629089,1.841666667,1.703333333,3.545
X11_12N_N_N_2,B2,N12,2011,double,unwarming,0,2,0,unclipping,93.1,64.73,32.39,2.67,0.131,1.238,6.01,271,69,202,NA,7,6.33,7.739230769,13.3,55.01,-1.94791,17.78296903,4.042423113,6.285275348,2.242852235,1.9125,1.658333333,3.570833333
X11_12S_N_C_2,B2,S12,2011,double,unwarming,0,2,1,Clipping,48.7,32.74,15.18,1.94,0.081,0.708,6.26,235.01,99.25,135.76,NA,9,4.95,7.337692308,13.3,55.01,-1.94791,9.358620305,5.358495852,8.663564932,3.30506908,2.759166667,0.914166667,3.673333333
X11_13N_N_N_0,B3,N13,2011,half,unwarming,0,0.5,0,unclipping,101.6,68.34,49.48,5.53,0.192,2.041,5.79,249,77,173,NA,5,8.53,7.818461538,13.3,55.01,-1.94791,18.47283839,4.721598337,7.543660139,2.822061802,1.725555556,1.518333333,3.243888889
X11_13S_N_C_0,B3,S13,2011,half,unwarming,0,0.5,1,Clipping,66.6,45.27,24.92,4.14,0.156,1.645,5.96,233.76,52.59,181.17,NA,6,6.45,7.927692308,13.3,55.01,-1.94791,18.65959176,4.804910311,7.25439467,2.449484359,1.728333333,2.066666667,3.795
X11_14N_N_N_2,B3,N14,2011,double,unwarming,0,2,0,unclipping,84.2,66.25,22.01,2.49,0.137,1.395,6.09,287,94,192,NA,6,7.12,8.713076923,13.3,55.01,-1.94791,17.90160268,5.34802144,8.169579353,2.821557913,0.329166667,2.553333333,2.8825
X11_14S_N_C_2,B3,S14,2011,double,unwarming,0,2,1,Clipping,72.8,51.22,8,2.05,0.094,0.916,6.25,343.11,151.16,191.95,NA,8,5.27,7.645384615,13.3,55.01,-1.94791,22.45380967,5.10352825,6.730189356,1.626661105,2.7825,1.754166667,4.536666667
X11_15N_H_N_0,B3,N15,2011,half,warming,1,0.5,0,unclipping,39.8,27.47,40.79,8.06,0.116,1.072,5.7,209,77,132,NA,5,6.37,8.140769231,13.3,55.01,-1.94791,18.6027175,2.220729048,3.464357533,1.243628485,0.7325,1.808333333,2.540833333
X11_15S_H_C_0,B3,S15,2011,half,warming,1,0.5,1,Clipping,67.6,41.08,141.45,32.76,0.196,1.928,5.48,167.86,59.31,108.55,NA,6,5.87,7.865384615,13.3,55.01,-1.94791,23.31755619,2.458547228,4.087868908,1.62932168,1.9375,1.505833333,3.443333333
X11_16N_H_N_1,B4,N16,2011,normal,warming,1,1,0,unclipping,102.1,66.99,175,10.93,0.172,1.641,5.59,348,218,131,NA,5,7.03,10.27538462,13.3,55.01,-1.94791,23.71643216,3.755597952,5.806736007,2.051138056,0.833888889,1.891111111,2.725
X11_16S_H_C_1,B4,S16,2011,normal,warming,1,1,1,Clipping,45.8,25.3,83.5,13.87,0.144,1.338,5.75,174.53,91.89,82.64,NA,8,7.12,8.936923077,13.3,55.01,-1.94791,23.67009691,2.684859961,4.644572402,1.959712441,1.069166667,1.749166667,2.818333333
X11_17N_N_N_2,B4,N17,2011,double,unwarming,0,2,0,unclipping,90.8,65.62,27.72,1.7,0.08,0.71,6.02,254,76,178,NA,7,6.03,8.844615385,13.3,55.01,-1.94791,18.04870407,4.938894781,7.856650397,2.917755617,1.353333333,1.798333333,3.151666667
X11_17S_N_C_2,B4,S17,2011,double,unwarming,0,2,1,Clipping,98.2,76.97,29.19,2.39,0.126,1.297,6.07,298.39,71.52,226.87,NA,6,5.73,7.422307692,13.3,55.01,-1.94791,18.7725628,5.940577219,10.14880665,4.208229433,1.828333333,1.6775,3.505833333
X11_18N_H_N_0,B4,N18,2011,half,warming,1,0.5,0,unclipping,47.1,26.65,20.92,2.95,0.118,1.157,6.03,228,77,151,NA,3,8.83,7.983846154,13.3,55.01,-1.94791,21.29560929,3.060343593,4.837797812,1.77745422,1.940833333,1.355833333,3.296666667
X11_18S_H_C_0,B4,S18,2011,half,warming,1,0.5,1,Clipping,113.1,78.98,115.9,6.99,0.16,1.555,5.75,243.13,48.11,195.02,NA,6,8.17,7.605384615,13.3,55.01,-1.94791,22.63083612,3.97735345,7.240128149,3.262774699,1.579166667,1.984166667,3.563333333
X11_19N_N_N_1,B3,N19,2011,normal,unwarming,0,1,0,unclipping,79.9,52.75,56.1,3.47,0.15,1.524,6.08,241,78,163,NA,7,6.77,7.232307692,13.3,55.01,-1.94791,18.21092162,3.696627521,5.536897509,1.840269989,1.895,1.518333333,3.413333333
X11_19S_N_C_1,B3,S19,2011,normal,unwarming,0,1,1,Clipping,65.2,44.88,50.85,3.25,0.111,1.156,5.95,249.23,47.2,202.03,NA,4,5.25,7.562307692,13.3,55.01,-1.94791,20.06438752,4.469857337,7.565253976,3.09539664,2.570833333,1.471111111,4.041944444
X11_1N_H_N_1,B1,N01,2011,normal,warming,1,1,0,unclipping,65.4,40.2,47.18,5.53,0.111,1.052,6.08,363,228,135,NA,5,6.85,7.32,13.3,55.01,-1.94791,21.81509609,2.768756665,6.008793858,3.240037193,0.629166667,1.3275,1.956666667
X11_1S_H_C_1,B1,S01,2011,normal,warming,1,1,1,Clipping,65.2,54.98,47.46,4.36,0.118,1.127,5.98,401.75,290.19,111.56,NA,4,5.67,7.623846154,13.3,55.01,-1.94791,20.6537272,4.103897952,5.45892547,1.355027518,0.565833333,2.865,3.430833333
X11_20N_H_N_1,B3,N20,2011,normal,warming,1,1,0,unclipping,62.9,37.98,70.5,8.77,0.103,0.917,5.76,221,77,144,NA,3,6.47,7.441538462,13.3,55.01,-1.94791,21.92999782,3.88307404,5.726745829,1.843671788,1.644166667,1.470833333,3.115
X11_20S_H_C_1,B3,S20,2011,normal,warming,1,1,1,Clipping,76.5,50.23,109.5,11.59,0.185,1.943,5.63,381.04,182.24,198.8,NA,8,6.23,7.382307692,13.3,55.01,-1.94791,21.92999782,4.468687141,6.801977241,2.3332901,1.096666667,1.9475,3.044166667
X11_21N_H_N_2,B3,N21,2011,double,warming,1,2,0,unclipping,99.4,65.72,33.65,3.61,0.173,1.85,5.96,360,218,143,NA,3,7.97,9.376923077,13.3,55.01,-1.94791,22.21212469,3.71136796,5.840653156,2.129285196,1.134166667,1.883333333,3.0175
X11_21S_H_C_2,B3,S21,2011,double,warming,1,2,1,Clipping,67.5,51.6,42.06,2.76,0.116,1.207,5.92,511.62,422.5,89.12,NA,4,8.7,10.33461538,13.3,55.01,-1.94791,22.10796414,4.366488795,6.550593767,2.184104972,1.605,2.005833333,3.610833333
X11_22N_H_N_2,B4,N22,2011,double,warming,1,2,0,unclipping,122.3,61.53,44.04,4.99,0.228,2.678,6.09,333,161,172,NA,6,6.47,7.217692308,13.3,55.01,-1.94791,20.89804974,4.873835501,7.541264724,2.667429223,0.503333333,2.0375,2.540833333
X11_22S_H_C_2,B4,S22,2011,double,warming,1,2,1,Clipping,136.9,81.38,75.5,4.03,0.16,1.587,5.82,476.58,234.58,242,NA,4,5.5,7.283846154,13.3,55.01,-1.94791,21.22729493,4.924264677,10.05395666,5.129691987,1.683333333,1.795,3.478333333
X11_23N_N_N_1,B4,N23,2011,normal,unwarming,0,1,0,unclipping,113.5,73.98,16.95,2.27,0.078,0.724,6.17,238,77,161,NA,5,6.17,6.691538462,13.3,55.01,-1.94791,18.59819869,3.671418795,6.113634974,2.442216179,1.560833333,1.964166667,3.525
X11_23S_N_C_1,B4,S23,2011,normal,unwarming,0,1,1,Clipping,103.8,67.88,47.04,3.17,0.151,1.609,6.02,240.42,87.45,152.97,NA,4,5.43,6.471538462,13.3,55.01,-1.94791,18.6129656,5.040891375,7.496801717,2.455910341,1.895833333,1.234166667,3.13
X11_24N_N_N_0,B4,N24,2011,half,unwarming,0,0.5,0,unclipping,157,89.1,66.8,10.44,0.22,2.382,5.74,266,71,195,NA,5,7.92,8.953846154,13.3,55.01,-1.94791,18.02925567,4.082075005,6.451184533,2.369109527,0.7325,1.828333333,2.560833333
X11_24S_N_C_0,B4,S24,2011,half,unwarming,0,0.5,1,Clipping,78.4,51.84,73.65,25.03,0.158,1.617,5.63,231.29,76.87,154.42,NA,4,6.95,8.76,13.3,55.01,-1.94791,18.67633988,4.443640204,8.144841611,3.701201407,1.691666667,1.484166667,3.175833333
X11_2N_H_N_0,B1,N02,2011,half,warming,1,0.5,0,unclipping,69.1,51.32,75.5,4.61,0.103,0.898,5.63,238,85,153,NA,3,8.52,9.063846154,13.3,55.01,-1.94791,20.48318723,2.887955493,5.242397635,2.354442142,1.001666667,1.4175,2.419166667
X11_2S_H_C_0,B1,S02,2011,half,warming,1,0.5,1,Clipping,43.1,29.95,78.45,22.15,0.096,0.793,5.83,133.19,51.88,81.31,NA,3,7.98,9.345384615,13.3,55.01,-1.94791,23.02612052,3.291776475,5.577226282,2.285449806,1.5,1.586666667,3.086666667
X11_3N_N_N_1,B1,N03,2011,normal,unwarming,0,1,0,unclipping,90,60.48,14.91,1.89,0.074,0.541,6.03,283,68,215,NA,7,7.15,8.156153846,13.3,55.01,-1.94791,18.09830804,3.406908115,5.22095156,1.814043445,0.95,1.335,2.285
X11_3S_N_C_1,B1,S03,2011,normal,unwarming,0,1,1,Clipping,44.2,47.08,22.84,2.41,0.074,0.585,5.99,215.11,118.09,97.02,NA,6,6.23,7.908461538,13.3,55.01,-1.94791,17.98159385,3.670019857,6.80026483,3.130244973,2.486666667,1.325,3.811666667
X11_4N_H_N_2,B2,N04,2011,double,warming,1,2,0,unclipping,42.7,32.46,28.34,3.99,0.104,0.91,5.72,285,127,158,NA,5,7.4,8.255384615,13.3,55.01,-1.94791,21.69212562,3.810564845,5.38644656,1.575881715,2.1875,1.566944444,3.754444444
X11_4S_H_C_2,B2,S04,2011,double,warming,1,2,1,Clipping,79.4,53.7,19.1,3.15,0.094,0.789,5.97,244.07,118.67,125.4,NA,7,6.52,8.578461538,13.3,55.01,-1.94791,21.23937808,5.701779019,8.930669428,3.228890409,2.077222222,1.717222222,3.794444444
X11_5N_H_N_0,B2,N05,2011,half,warming,1,0.5,0,unclipping,40.1,27.05,23.81,3.78,0.084,0.666,5.76,217,77,140,NA,5,7.97,9.032307692,13.3,55.01,-1.94791,23.4555883,2.996717786,3.913013957,0.91629617,1.249444444,1.135833333,2.385277778
X11_5S_H_C_0,B2,S05,2011,half,warming,1,0.5,1,Clipping,49.3,30.8,94.85,10.7,0.119,1.051,5.5,191.77,109.29,82.48,NA,5,7.95,9.091538462,13.3,55.01,-1.94791,22.84455379,2.606225594,4.717718858,2.111493264,0.6775,2.382777778,3.060277778
X11_6N_N_N_1,B2,N06,2011,normal,unwarming,0,1,0,unclipping,68.7,46.44,61.7,3.73,0.102,0.82,5.66,249,68,181,NA,5,6.88,7.97,13.3,55.01,-1.94791,18.27392987,3.419686577,4.971760056,1.552073478,1.927222222,0.828055556,2.755277778
X11_6S_N_C_1,B2,S06,2011,normal,unwarming,0,1,1,Clipping,110.2,84.07,44.59,3.01,0.13,1.181,5.75,254.8,77.59,177.21,NA,5,5.5,8.874615385,13.3,55.01,-1.94791,19.00138719,3.87632476,7.505338533,3.629013773,1.726666667,0.926388889,2.653055556
X11_7N_H_N_2,B1,N07,2011,double,warming,1,2,0,unclipping,75.2,56.08,76.75,5.4,0.109,0.936,5.84,240,77,163,NA,3,6.82,8.199230769,13.3,55.01,-1.94791,22.14113566,3.41403642,6.165123808,2.751087388,0.940833333,1.67,2.610833333
X11_7S_H_C_2,B1,S07,2011,double,warming,1,2,1,Clipping,93.2,71.75,83.05,6.88,0.161,1.598,5.84,263.79,52.59,211.2,NA,5,5.97,8.286923077,13.3,55.01,-1.94791,23.44261668,4.86330515,9.033712506,4.170407356,0.986666667,2.318333333,3.305
X11_8N_N_N_0,B1,N08,2011,half,unwarming,0,0.5,0,unclipping,87.1,56.21,86.2,8.88,0.194,2.079,5.71,247,66,181,NA,4,8.2,10.22076923,13.3,55.01,-1.94791,19.28745411,4.08299141,6.303931554,2.220940144,1.311666667,1.135833333,2.4475
